    1024	    5760	    5760
    2048	   12761	   12761
    4096	   71061	   71061
    8192	  115882	  115882
   16384	  173211	  173211
   32768	  192950	  192950
   65536	  202352	  202352
  131072	  213178	  213178
  262144	  213924	  213924
  524288	  226699	  226699
 1048576	  225782	  225782
 2097152	  212981	  212981
 4194304	  219547	  219547
 8388608	  207768	  207768
16777216	  203760	  203760
     128	       0	       0
     256	       0	       0
     512	    2734	    2734
    1024	    5482	    5482
    2048	   12779	   12779
    4096	   69150	   69150
    8192	  129040	  129040
   16384	  189672	  189672
   32768	  193919	  193919
   65536	  204802	  204802
  131072	  210353	  210353
  262144	  212630	  212630
  524288	  226149	  226149
 1048576	  236648	  236648
 2097152	  216845	  216845
 4194304	  209107	  209107
 8388608	  209087	  209087
16777216	  209835	  209835
     128	       0	       0
     256	       0	       0
     512	    2726	    2726
    1024	    5708	    5708
    2048	   12813	   12813
    4096	   69105	   69105
    8192	  129805	  129805
   16384	  173456	  173456
   32768	  190919	  190919
   65536	  201372	  201372
  131072	  209696	  209696
  262144	  212263	  212263
  524288	  221675	  221675
 1048576	  224165	  224165
 2097152	  218474	  218474
 4194304	  215004	  215004
 8388608	  204207	  204207
16777216	  214379	  214379
     128	       0	       0
     256	       0	       0
     512	    2740	    2740
    1024	    5779	    5779
    2048	   13518	   13518
    4096	   69417	   69417
    8192	  116825	  116825
   16384	  189198	  189198
   32768	  195698	  195698
   65536	  204108	  204108
  131072	  204828	  204828
  262144	  211752	  211752
  524288	  219046	  219046
 1048576	  211041	  211041
 2097152	  216819	  216819
 4194304	  208037	  208037
 8388608	  206482	  206482
16777216	  208107	  208107
     128	       0	       0
     256	       0	       0
     512	    2734	    2734
    1024	    5482	    5482
    2048	   12718	   12718
    4096	   69913	   69913
    8192	  125802	  125802
   16384	  173297	  173297
   32768	  192372	  192372
   65536	  203220	  203220
  131072	  214062	  214062
  262144	  213894	  213894
  524288	  224128	  224128
 1048576	  232851	  232851
 2097152	  221077	  221077
 4194304	  211923	  211923
 8388608	  207640	  207640
16777216	  209111	  209111
